ds,yhat,yhat_lower,yhat_upper,Actual Sales
2016-10-03,13485.693238117527,-1906.4163472770608,28794.71391647591,595.14
2016-10-04,13053.426814637496,-2141.2538194656318,28277.139219405624,11916.58
2016-10-05,10942.996671054756,-6642.682716796087,25640.928139771047,13124.66
2016-10-06,9783.831886514621,-6766.126241303412,25650.214294629808,8323.57
2016-10-07,8765.146639516643,-7047.540904499802,25059.735642549913,8932.43
2016-10-08,-401.55526058630494,-16112.168619542688,15651.322488212993,9678.47
2016-10-09,134.0134029433666,-16383.721603840862,16681.405648540484,5614.89
2016-10-10,9519.282847991135,-6417.399527272468,24646.596010514186,4309.99
2016-10-11,9070.069150734786,-8132.725404920123,25694.393283417015,0.0
2016-10-12,6936.443478889305,-8343.680611508886,24588.183276380085,0.0
2016-10-13,5746.517353559184,-9992.431304609107,21665.07694595324,0.0
2016-10-14,4689.030423040985,-11562.901357032331,20581.669405983008,0.0
2016-10-15,-4524.088333505111,-20363.93559087548,10104.401942622637,0.0
2016-10-16,-4041.201142334139,-19765.518600124906,11536.141903632528,0.0
2016-10-17,5287.391499388781,-11169.063362536608,20844.80518000813,0.0
2016-10-18,4780.654243689292,-10164.854488929517,21506.253159787073,0.0
2016-10-19,2592.6144345454068,-13174.490242050779,18381.579829111815,0.0
2016-10-20,1356.0448995025927,-14284.80978196269,16122.312242457941,0.0
2016-10-21,264.92087144629113,-15990.861344863291,15805.100823055336,0.0
2016-10-22,-8963.174776593756,-24495.179438250336,6692.670398697329,0.0
2016-10-23,-8470.709099007541,-24665.6441772887,8569.786905222189,0.0
2016-10-24,897.960505333338,-13997.286237003857,17287.265427588394,0.0
2016-10-25,467.58534942059487,-15223.394968344233,15071.520150839815,0.0
2016-10-26,-1602.3865925292175,-16661.013184947195,13930.75940640044,0.0
2016-10-27,-2674.336931258791,-19276.94163417169,12661.580879760544,0.0
2016-10-28,-3550.2218403974603,-19074.44830517733,12435.582043463457,0.0
2016-10-29,-12509.355960592946,-26538.908698691463,3249.734237415692,0.0
2016-10-30,-11692.24025932979,-27866.868366365856,4330.552677095035,0.0
2016-10-31,-1942.548462698447,-16101.10777296509,13955.44259527802,0.0
2016-11-01,-1936.2447964712283,-17665.888886996814,13615.174966715067,0.0
2016-11-02,-3516.079404248825,-19237.1937870585,12825.228762859622,0.0
